sector,n_start,n_end,observed,predicted,O_over_P
2.3e7-2e9,23000000,2000000000,15,16.5,0.909
2e9-4e9,2000000000,4000000000,10,12.7,0.787
4e9-1e10,4000000000,10000000000,34,32.8,1.037
1e10-3e10,10000000000,30000000000,78,91.5,0.852
3e10-1e11,30000000000,100000000000,240,264.2,0.908
1e11-2e11,100000000000,200000000000,352,328.7,1.071
2e11-3e11,200000000000,300000000000,295,303.2,0.973
3e11-4e11,300000000000,400000000000,311,288.0,1.080
4e11-5e11,400000000000,500000000000,260,277.3,0.938
5e11-6e11,500000000000,600000000000,260,269.1,0.966
6e11-7e11,600000000000,700000000000,253,262.6,0.963
7e11-8e11,700000000000,800000000000,251,257.1,0.976
